strike,maturity,option_type,price,implied_volatility
80.0,0.25,call,20.625032987109833,0.19600000000536708
90.0,0.25,call,11.169874833696483,0.1880000000027921
100.0,0.25,call,3.9618575051982106,0.18000000000020103
110.0,0.25,call,0.9255598360306898,0.18800000000008624
120.0,0.25,call,0.1588347092900655,0.1960000000001183
80.0,0.5,call,21.537042507962013,0.21599999999999892
90.0,0.5,call,12.948917207784163,0.20800000000000113
100.0,0.5,call,6.371027942167466,0.2
110.0,0.5,call,2.8125633916289807,0.20799999999999993
120.0,0.5,call,1.147494347538803,0.2160000000110717
80.0,1.0,call,23.863344741040336,0.23600000000000035
90.0,1.0,call,16.278370644613254,0.22800000000015122
100.0,1.0,call,10.187131097786398,0.22000000000151257
110.0,1.0,call,6.388489850602646,0.228
120.0,1.0,call,3.971802410156048,0.23600000000397214
